,Unnamed: 0,source,author,title,description,url,requested_date,publishedAt,content
2643,0,CBS News,CBS News,Tom Steyer says he didn't hear post-debate exchange between Warren and Sanders,"Tom Steyer said he was ""only trying to say goodnight"" and didn't hear what Senators Elizabeth Warren and Bernie Sanders said to each other at the end of Tuesday's Democratic debate. Steyer joins Caitlin Huey-Burns and Ed O'Keefe in the spin room to discuss hi…",https://www.cbsnews.com/video/tom-steyer-says-he-didnt-hear-post-debate-exchange-between-warren-and-sanders/,2020-01-15,2020-01-15T05:28:55+00:00,"Tom Steyer said he was ""only trying to say goodnight"" and didn't hear what Senators Elizabeth Warren and Bernie Sanders said to each other at the end of Tuesday's Democratic debate. Steyer joins Caitlin Huey-Burns and Ed O'Keefe in the spin room to discuss hi… [+51 chars]"
600,0,CNN,,Rudy Giuliani: 'I would testify' in Senate impeachment trial - CNN Video,President Donald Trump's personal attorney Rudy Giuliani told reporters he would testify in the impeachment trial of the President.,http://us.cnn.com/videos/politics/2020/01/01/rudy-giuliani-impeachment-trial-testimony-nr-vpx.cnn,2020-01-02,2020-01-02T20:23:51.0345103Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
2532,0,CBS News,Peter Martinez,Plane dumps jet fuel: Delta Air Lines Flight 89 emergency landing at Los Angeles International Airport (LAX) — live updates today,"Flight tracking website FlightAware showed Delta Air Lines Flight 89 to Shanghai, China, left LAX and circled back over Southern California before returning to the airport.",https://www.cbsnews.com/news/plane-jet-fuel-dumps-schools-near-lax-los-angeles-airport-live-stream-updates-2020-01-14/,2020-01-15,2020-01-14T21:53:42+00:00,"A Delta plane returning to Los Angeles International Airport (LAX) dumped fuel on an elementary school playground in Southern California, firefighter officials said Tuesday. Officials said 70 firefighters responded to the city of Cudahy near the airport, acco… [+2400 chars]"
1801,0,The Hill,John Kruzel,How impeachment differs from court trials | TheHill,House Speaker Nancy Pelosi (D-Calif.) is poised to send the articles of impeachment against Presi...,http://thehill.com/homenews/senate/478089-how-impeachment-differs-from-court-trials,2020-01-14,2020-01-14T11:01:55Z,"House Speaker Nancy PelosiNancy PelosiA time for war, a time for peace and always a time to defend AmericaHere's what happens next on impeachmentOvernight Defense: Trump says it 'doesn't really matter' if Soleimani was plotting imminent attack | Pompeo won't … [+6424 chars]"
2894,0,ABC News,DAVID EGGERT Associated Press,Michigan lawmaker apologizes for comments to female reporter,,https://abcnews.go.com/Politics/wireStory/michigan-lawmaker-apologizes-comments-female-reporter-68302068,2020-01-15,2020-01-15T17:42:36Z,"LANSING, Mich. -- 
A Michigan lawmaker apologized Wednesday a day after telling to a young female reporter that a group of high school boys could have a lot of fun with her.
State Sen. Pete Lucido, a 59-year-old Republican from Macomb County's Shelby Townsh… [+2039 chars]"
996,0,The Verge,Aliya Chaudhry,This smart thermometer can automatically adjust a Whirlpool oven’s temperature,"The Yummly Smart Thermometer communicates to the Yummly app on your phone via Bluetooth to give you real-time updates on your cooking. Later this year, the thermometer will be integrated with Yummly recipes and Whirlpool ovens to automatically adjust the oven…",https://www.theverge.com/2020/1/5/21048530/yummly-whirlpool-wireless-smart-meat-thermometer-oven-cooking,2020-01-05,2020-01-05T18:59:59Z,"It also sends real-time updates to your phone
Yummly Smart Thermometer
Image: Whirlpool
This new smart thermometer is completely wire-free so you wont have to deal with any cords coming out of your oven door. And, itll eventually be able to adjust an ovens… [+1231 chars]"
930,0,BBC News,BBC News,Indian students hurt in university violence,Police in Delhi are called to the JNU campus amid reports of masked men attacking students and staff.,http://www.bbc.co.uk/news/world-asia-india-51000915,2020-01-05,2020-01-05T16:58:27Z,"Image copyrightGetty ImagesImage caption
 The JNU has been the site of previous protests and clashes
Police in India have entered the campus of one of the country's most prestigious universities after reports of masked men attacking students.
About 20 stud… [+1215 chars]"
897,0,BBC News,BBC News,Thousands flock to mourn Soleimani in Iran,"The body of Qasem Soleimani, a top Iranian general assassinated by the US, has been brought back to Iran.",http://www.bbc.co.uk/news/world-middle-east-50998196,2020-01-05,2020-01-05T08:25:15Z,
2014,0,The Hill,The Hill staff,Sunday shows - Administration officials grilled on Trump's Iran claims | TheHill,Top administration officials were questioned on Sunday about President Trump's comments that the...,http://thehill.com/homenews/sunday-talk-shows/477889-sunday-shows-administration-officials-grilled-on-trumps-iran,2020-01-13,2020-01-12T16:34:49Z,"The Hill 1625 K Street, NW Suite 900 Washington DC 20006 | 202-628-8500 tel | 202-628-8503 fax
The contents of this site are ©2020 Capitol Hill Publishing Corp., a subsidiary of News Communications, Inc."
3216,0,The Verge,Kim Lyons,TikTok vulnerability could have let hackers access users’ videos,Check Point Research says it it found “multiple vulnerabilities” within TikTok’s infrastructure that demonstrated its insecurity. The company has since fixed the issue.,https://www.theverge.com/2020/1/8/21050589/tiktok-patched-vulnerability-hackers-videos-china-bytedance-checkpoint,2020-01-08,2020-01-08T10:01:00Z,"Check Point Research says it was able to spoof text messages to users that appeared to come from TikTok
Illustration by Alex Castro / The Verge
Cybersecurity research firm Check Point Research says it found multiple vulnerabilities within video sharing app … [+3466 chars]"
